,Original,Destination,passengers
752,U.S. Pacific Trust Territories and Possessions,Rhode Island,0.0
753,U.S. Pacific Trust Territories and Possessions,Oklahoma,0.0
754,U.S. Pacific Trust Territories and Possessions,Louisiana,0.0
755,U.S. Pacific Trust Territories and Possessions,Minnesota,0.0
756,U.S. Pacific Trust Territories and Possessions,U.S. Pacific Trust Territories and Possessions,7980.0
757,U.S. Pacific Trust Territories and Possessions,Michigan,0.0
758,U.S. Pacific Trust Territories and Possessions,Pennsylvania,0.0
759,U.S. Pacific Trust Territories and Possessions,Nebraska,0.0
760,U.S. Pacific Trust Territories and Possessions,Wyoming,0.0
761,U.S. Pacific Trust Territories and Possessions,Oregon,0.0
762,U.S. Pacific Trust Territories and Possessions,Iowa,0.0
763,U.S. Pacific Trust Territories and Possessions,South Carolina,0.0
764,U.S. Pacific Trust Territories and Possessions,Vermont,0.0
