,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
168,Kentucky,9,0.011005536,0.164120957,49589.14091,460943,109362,-3995,-26716.92881,-0.005929406,925881,125895.2106,0.027940478
169,Kentucky,10,0.006940697,0.109813464,31273.6433,543173,49327,2582,-28090.52692,-0.006234254,1083764,90637.81352,0.020115649
170,Illinois,1,0.011941809,0.061138764,153004.5183,1217539,162912,61995,82355.98696,0.00642778,2373083,223653.0496,0.017455837
171,Illinois,2,0.006703387,0.028532228,85887.19725,1188052,58083,-24083,51302.28475,0.004004078,2400187,120472.1097,0.009402695
172,Illinois,3,0.010892512,0.027588976,139560.3909,1899214,56746,-95277,84534.42559,0.006597805,3893705,194586.3561,0.015187218
173,Illinois,4,0.010268395,0.038724045,131563.8928,2253234,86944,123861,49105.95719,0.003832658,4382607,214021.8283,0.016704132
174,Illinois,5,0.008276426,0.023033561,106041.7693,2701531,44318,35192,44626.48648,0.003483041,5367870,167457.052,0.013069811
175,Illinois,6,0.007398953,0.008029253,94799.14209,3237224,9152,30683,69053.01176,0.0053895,6443765,120545.2724,0.009408406
176,Illinois,7,0.022053788,0.026708246,282564.3315,3774109,27415,55165,183237.8589,0.014301482,7493053,381890.8041,0.029806093
177,Illinois,8,0.034007824,0.052935448,435725.5231,3498514,103331,39174,252603.8109,0.019715407,6957854,618847.2353,0.048300242
178,Illinois,9,0.026670707,0.035143016,341718.6486,3125577,99388,-13240,231411.1511,0.018061347,6264394,452026.1461,0.035280067
179,Illinois,10,0.020199962,0.018959058,258812.1772,3390976,64660,-25857,194032.2422,0.01514397,6807809,323592.1122,0.025255954
180,Alabama,1,0.002703587,0.215518171,13583.57317,86979,93892,6550,-3750.337836,-0.000746443,167408,30917.48418,0.006153616
181,Alabama,2,0.001560812,0.102893482,7841.956397,77543,32392,-92,-146.1790872,-2.91E-05,155178,15830.09188,0.003150719
182,Alabama,3,0.004132185,0.091177475,20761.25211,125469,21619,1467,9455.062814,0.001881875,249471,32067.44141,0.006382496
183,Alabama,4,0.001809498,0.065024864,9091.423458,140445,12056,2555,125.1449127,2.49E-05,278335,18057.702,0.003594088
184,Alabama,5,0.001541009,0.091908676,7742.459737,172802,15096,-6805,-8764.981798,-0.001744525,352409,24249.90127,0.004826544
185,Alabama,6,0.001231835,0.059173717,6189.08101,193879,6938,-794,-5330.444048,-0.001060937,388552,17708.60607,0.003524606
186,Alabama,7,0.003941363,0.175767052,19802.50759,210417,34624,-2494,-17620.23118,-0.003507017,423328,57225.24635,0.011389743
187,Alabama,8,0.006407498,0.258277841,32193.05943,185045,112324,3396,-14722.85213,-0.002930341,366694,79108.971,0.015745338
188,Alabama,9,0.004682974,0.289744453,23528.56897,183269,92055,20,-29566.81235,-0.005884787,366518,76623.95029,0.015250736
189,Alabama,10,0.002816762,0.121313598,14152.19878,210824,33727,-991,-11543.84102,-0.002297611,422639,39848.23858,0.007931136
190,Kansas,1,0.001493645,0.299890537,4388.149738,33542,46848,3235,-4700.632763,-0.001600008,63849,13476.93224,0.004587298
191,Kansas,2,0.000794719,0.221078521,2334.788258,28524,16989,-622,-4108.766306,-0.001398548,57670,8778.342822,0.002987985
192,Kansas,3,0.001049125,0.13168962,3082.20305,49572,7296,731,-3349.649665,-0.001140159,98413,9514.055766,0.003238409
193,Kansas,4,0.000967035,0.127880096,2841.032728,52608,6638,-401,-3937.763258,-0.001340342,105617,9619.828713,0.003274412
194,Kansas,5,0.000930473,0.120701092,2733.618874,67633,4731,-3165,-5811.777034,-0.001978221,138431,11279.01478,0.003839168
195,Kansas,6,0.000983155,0.119991138,2888.39183,82090,3791,579,-6892.205783,-0.002345979,163601,12668.98944,0.00431229
196,Kansas,7,0.002264838,0.287499511,6653.823327,85940,14701,-1663,-18531.99634,-0.006307949,173543,31839.643,0.010837625
197,Kansas,8,0.003562501,0.325121021,10466.20061,78561,36066,5680,-13228.94454,-0.004502888,151442,34161.34575,0.01162789
198,Kansas,9,0.002553296,0.265505216,7501.277873,71365,35707,505,-11312.42174,-0.003850539,142225,26314.97749,0.008957131
199,Kansas,10,0.001706639,0.28032222,5013.901825,74725,23350,-1035,-16223.3096,-0.005522114,150485,26251.11325,0.008935393
200,Nevada,1,0.028611531,0.130680066,88827.76039,723217,51262,-57337,-13175.08751,-0.004243712,1503771,190830.6083,0.061466774
201,Nevada,2,0.017917553,0.065462987,55627.08539,830129,14608,26817,3039.882692,0.00097915,1633441,108214.2881,0.034855956
202,Nevada,3,0.026467384,0.044811947,82171.01191,1331520,9782,30809,23883.61899,0.007692943,2632231,140458.4048,0.045241826
203,Nevada,4,0.023032418,0.050496224,71506.7677,1480545,11326,27980,-1842.279488,-0.0005934,2933110,144855.8149,0.046658237
